City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,port alfred,-33.5906,26.891,61.88,49,33,12.68,ZA,1692749538
329,klimavichy,53.6135,31.9385,58.89,74,54,6.42,BY,1692749539
330,zarah sharan,33.1467,68.7917,66.9,14,0,0.67,AF,1692749539
331,mount isa,-20.7333,139.5,74.97,19,0,14.97,AU,1692749539
332,uberherrn,49.2419,6.6984,68.54,74,13,2.75,DE,1692749539
333,wuhai,39.6647,106.8122,68.5,39,77,3.31,CN,1692749540
334,villa yapacani,-17.4,-63.8333,87.42,39,69,8.21,BO,1692749541
335,misratah,32.3754,15.0925,79.45,66,55,4.7,LY,1692749541
336,khanty-mansiysk,61.0042,69.0019,46.51,100,0,6.71,RU,1692749541
337,fisterra,42.9049,-9.2629,74.75,70,31,4.16,ES,1692749541
338,enewetak,11.3474,162.3373,84.11,77,80,14.18,MH,1692749541
339,ulety,51.3572,112.4849,54.75,89,100,3.62,RU,1692749542
340,pingyin,36.2831,116.4453,76.53,61,3,1.36,CN,1692749542
341,miranda do douro,41.4969,-6.2731,81.54,31,72,1.59,PT,1692749543
342,atbasar,51.8,68.3333,66.78,53,44,7.9,KZ,1692749543
343,okakarara,-20.5833,17.4333,57.25,12,8,7.72,NA,1692749543
344,sandnessjoen,66.0217,12.6316,52.32,95,79,4.81,NO,1692749544
345,roma,43.2128,-75.4557,67.73,73,0,4.61,US,1692749544
346,calama,-22.4667,-68.9333,53.2,12,52,1.28,CL,1692749544
347,yemetsk,63.4721,41.7941,40.44,96,25,3.51,RU,1692749544
348,thompson,55.7435,-97.8558,72.64,49,97,2.35,CA,1692749400
349,okondja,-0.6549,13.6753,71.47,96,48,1.9,GA,1692749545
350,paradise point,-27.8863,153.3957,77.14,67,8,1.99,AU,1692749546
351,fale old settlement,-9.3852,-171.2468,82.62,72,29,21.68,TK,1692749546
352,bukama,-9.2,25.85,76.91,26,2,2.98,CD,1692749546
353,mar del plata,-38.0023,-57.5575,53.13,67,99,5.99,AR,1692749546
354,oistins,13.0667,-59.5333,82.49,89,20,6.91,BB,1692749546
355,san lawrenz,36.0553,14.204,78.21,90,91,5.68,MT,1692749547
356,canto del llano,8.1761,-80.973,69.91,98,100,13.0,PA,1692749548
357,novozybkov,52.5396,31.9275,57.56,81,58,6.44,RU,1692749548
358,fort mcmurray,56.7268,-111.381,74.79,53,71,3.44,CA,1692749448
359,maine soroa,13.2114,12.0241,86.23,37,29,5.82,NE,1692749549
360,ghat,24.9647,10.1728,90.46,20,75,11.97,LY,1692749550
361,makarska,43.2969,17.0178,80.31,60,0,10.45,HR,1692749550
